customerid,age,gender,frequencyofpurchases,purchaseamount,interactiontype,subscriptionstatus,promocodeused,previouspurchases,timestamp
71,22,Male,Every 3 Months,29,purchase,Yes,Yes,32,2023-12-19
72,36,Male,Annually,48,view,Yes,Yes,34,2023-12-20
73,18,Male,Every 3 Months,26,like,Yes,Yes,21,2023-12-21
74,48,Male,Bi-Weekly,85,purchase,Yes,Yes,43,2023-12-22
75,49,Male,Monthly,58,purchase,Yes,Yes,3,2023-12-23
76,64,Male,Annually,85,view,Yes,Yes,21,2023-12-24
77,50,Male,Monthly,43,like,Yes,Yes,32,2023-12-25
78,22,Male,Fortnightly,53,view,Yes,Yes,36,2023-12-26
79,50,Male,Fortnightly,91,like,Yes,Yes,50,2023-12-27
80,38,Male,Every 3 Months,96,like,Yes,Yes,43,2023-12-28
81,19,Male,Every 3 Months,72,purchase,Yes,Yes,24,2023-01-01
82,67,Male,Every 3 Months,96,view,Yes,Yes,36,2022-12-28
83,19,Male,Every 3 Months,28,like,Yes,Yes,21,2022-12-29
84,36,Male,Weekly,40,purchase,Yes,Yes,34,2022-12-30
85,52,Male,Every 3 Months,32,purchase,Yes,Yes,42,2022-12-31
86,53,Male,Bi-Weekly,95,view,Yes,Yes,2,2023-01-01
87,24,Male,Bi-Weekly,41,like,Yes,Yes,47,2023-01-02
88,52,Male,Fortnightly,53,view,Yes,Yes,44,2023-01-03
89,33,Male,Monthly,47,like,Yes,Yes,35,2023-01-04
90,47,Male,Quarterly,83,like,Yes,Yes,15,2023-01-05
91,25,Male,Monthly,48,purchase,Yes,Yes,29,2023-01-06
92,44,Male,Every 3 Months,99,view,Yes,Yes,18,2023-01-07
93,61,Male,Every 3 Months,87,like,Yes,Yes,13,2023-01-08
94,37,Male,Weekly,62,purchase,Yes,Yes,46,2023-01-09
95,58,Male,Weekly,76,purchase,Yes,Yes,28,2023-01-10
96,37,Male,Monthly,100,view,Yes,Yes,48,2023-01-11
97,32,Male,Every 3 Months,73,like,Yes,Yes,43,2023-01-12
98,21,Male,Annually,92,view,Yes,Yes,37,2023-01-13
99,20,Male,Annually,67,like,Yes,Yes,20,2023-01-14
100,26,Male,Quarterly,40,like,Yes,Yes,33,2023-01-15
101,62,Male,Fortnightly,98,purchase,Yes,Yes,31,2023-01-16
102,27,Male,Bi-Weekly,85,view,Yes,Yes,50,2023-01-17
103,51,Male,Quarterly,67,like,Yes,Yes,35,2023-01-18
104,54,Male,Bi-Weekly,89,purchase,Yes,Yes,22,2023-01-19
105,55,Male,Monthly,24,like,Yes,Yes,1,2023-01-20
106,69,Male,Annually,96,like,Yes,Yes,4,2023-01-21
107,64,Male,Monthly,35,purchase,Yes,Yes,31,2023-01-22
108,28,Male,Fortnightly,67,view,Yes,Yes,46,2023-01-23
109,70,Male,Bi-Weekly,79,like,Yes,Yes,32,2023-01-24
110,58,Male,Fortnightly,85,view,Yes,Yes,43,2023-10-10
111,56,Male,Fortnightly,26,like,Yes,Yes,26,2023-10-11
112,26,Male,Annually,75,like,Yes,Yes,9,2023-10-12
113,37,Male,Bi-Weekly,65,purchase,Yes,Yes,28,2023-10-13
114,44,Male,Quarterly,54,view,Yes,Yes,20,2023-10-14
115,70,Male,Weekly,95,like,Yes,Yes,9,2023-10-15
116,53,Male,Every 3 Months,94,purchase,Yes,Yes,48,2023-10-16
117,55,Male,Annually,86,purchase,Yes,Yes,12,2023-10-17
118,50,Male,Fortnightly,32,view,Yes,Yes,29,2023-10-18
119,50,Male,Bi-Weekly,45,like,Yes,Yes,27,2023-10-19
120,38,Male,Annually,76,view,Yes,Yes,44,2023-10-20
121,64,Male,Annually,84,like,Yes,Yes,32,2023-10-21
122,19,Male,Fortnightly,72,purchase,Yes,Yes,11,2023-10-22
123,40,Male,Fortnightly,40,view,Yes,Yes,44,2023-10-23
124,57,Male,Weekly,89,like,Yes,Yes,46,2023-10-24
125,44,Male,Annually,86,view,Yes,Yes,50,2023-10-25
126,49,Male,Every 3 Months,54,like,Yes,Yes,45,2023-10-26
127,43,Male,Every 3 Months,36,like,Yes,Yes,48,2023-10-27
128,24,Male,Weekly,89,purchase,Yes,Yes,26,2023-10-28
129,20,Male,Fortnightly,32,view,Yes,Yes,21,2023-10-29
130,24,Male,Bi-Weekly,67,like,Yes,Yes,49,2023-10-30
131,44,Male,Fortnightly,39,purchase,Yes,Yes,13,2023-10-31
132,28,Male,Weekly,29,purchase,Yes,Yes,46,2023-11-01
133,30,Male,Weekly,58,view,Yes,Yes,42,2023-11-02
134,52,Male,Annually,65,like,Yes,Yes,25,2023-11-03
135,43,Male,Monthly,94,view,Yes,Yes,25,2023-11-04
136,43,Male,Quarterly,81,like,Yes,Yes,12,2023-11-05
137,39,Male,Quarterly,86,like,Yes,Yes,4,2023-11-06
138,68,Male,Weekly,43,purchase,Yes,Yes,38,2023-11-07
139,68,Male,Weekly,29,view,Yes,Yes,42,2023-11-08
140,49,Male,Annually,95,like,Yes,Yes,30,2023-11-09
141,63,Male,Weekly,28,purchase,Yes,Yes,50,2023-11-10
142,56,Male,Weekly,46,purchase,Yes,Yes,45,2023-11-11
143,37,Male,Fortnightly,58,view,Yes,Yes,33,2023-11-12
144,30,Male,Quarterly,48,like,Yes,Yes,25,2023-11-13
145,19,Male,Monthly,43,view,Yes,Yes,25,2023-11-14
146,24,Male,Quarterly,95,like,Yes,Yes,44,2023-11-15
147,52,Male,Fortnightly,30,purchase,Yes,Yes,21,2023-11-16
148,63,Male,Fortnightly,64,view,Yes,Yes,31,2023-11-17
149,37,Male,Annually,90,like,Yes,Yes,47,2023-11-18
150,38,Male,Monthly,76,view,Yes,Yes,14,2023-11-19
151,35,Male,Every 3 Months,96,like,Yes,Yes,17,2023-11-20
152,28,Male,Annually,47,like,Yes,Yes,3,2023-11-21
153,30,Male,Annually,85,purchase,Yes,Yes,42,2023-11-22
154,69,Male,Annually,55,view,Yes,Yes,22,2023-11-23
155,41,Male,Quarterly,98,like,Yes,Yes,21,2023-11-24
156,63,Male,Quarterly,77,purchase,Yes,Yes,21,2023-11-25
157,35,Male,Annually,26,purchase,Yes,Yes,40,2023-11-26
158,36,Male,Fortnightly,68,view,Yes,Yes,1,2023-11-27
159,25,Male,Monthly,73,like,Yes,Yes,50,2023-11-28
160,58,Male,Every 3 Months,27,view,Yes,Yes,39,2023-11-29
161,27,Male,Monthly,23,like,Yes,Yes,34,2023-11-30
162,65,Male,Fortnightly,49,like,Yes,Yes,29,2023-12-01
163,54,Male,Bi-Weekly,74,purchase,Yes,Yes,31,2023-12-02
164,54,Male,Weekly,67,view,Yes,Yes,8,2023-12-03
165,59,Male,Fortnightly,65,like,Yes,Yes,5,2023-12-04
166,42,Male,Monthly,60,purchase,Yes,Yes,7,2023-12-05
167,46,Male,Monthly,31,purchase,Yes,Yes,30,2023-12-06
168,33,Male,Every 3 Months,27,purchase,Yes,Yes,14,2023-12-07
169,34,Male,Fortnightly,80,view,Yes,Yes,5,2023-12-08
170,27,Male,Every 3 Months,30,like,Yes,Yes,3,2023-12-09
171,52,Male,Bi-Weekly,25,view,Yes,Yes,46,2023-12-10
172,29,Male,Weekly,35,like,Yes,Yes,4,2023-12-11
173,54,Male,Bi-Weekly,67,like,Yes,Yes,42,2023-12-12
174,25,Male,Annually,46,purchase,Yes,Yes,30,2023-12-13
175,41,Male,Annually,35,view,Yes,Yes,37,2023-12-14
176,53,Male,Annually,86,like,Yes,Yes,2,2023-12-15
177,53,Male,Quarterly,81,purchase,Yes,Yes,30,2023-12-16
178,21,Male,Monthly,42,purchase,Yes,Yes,47,2023-12-17
179,61,Male,Quarterly,43,purchase,Yes,Yes,21,2023-12-18
180,64,Male,Fortnightly,31,view,Yes,Yes,9,2023-12-19
181,51,Male,Fortnightly,81,like,Yes,Yes,12,2023-12-20
182,32,Male,Weekly,61,view,Yes,Yes,4,2023-12-21
183,38,Male,Annually,96,like,Yes,Yes,10,2023-12-22
184,58,Male,Weekly,29,like,Yes,Yes,26,2023-12-23
185,32,Male,Fortnightly,33,purchase,Yes,Yes,40,2023-12-24
186,46,Male,Fortnightly,32,view,Yes,Yes,34,2023-12-25
187,39,Male,Annually,56,like,Yes,Yes,31,2023-12-26
188,19,Male,Bi-Weekly,94,purchase,Yes,Yes,1,2023-12-27
189,50,Male,Bi-Weekly,53,purchase,Yes,Yes,5,2023-12-28
190,36,Male,Weekly,82,view,Yes,Yes,4,2023-01-01
191,65,Male,Quarterly,70,like,Yes,Yes,48,2022-12-28
192,64,Male,Every 3 Months,76,view,Yes,Yes,29,2022-12-29
193,46,Male,Bi-Weekly,29,like,Yes,Yes,12,2022-12-30
194,36,Male,Annually,100,like,Yes,Yes,29,2022-12-31
195,51,Male,Quarterly,94,purchase,Yes,Yes,15,2023-01-01
196,51,Male,Monthly,25,view,Yes,Yes,34,2023-01-02
197,38,Male,Fortnightly,88,like,Yes,Yes,41,2023-01-03
198,59,Male,Monthly,78,purchase,Yes,Yes,41,2023-01-04
199,57,Male,Fortnightly,45,purchase,Yes,Yes,39,2023-01-05
200,54,Male,Weekly,73,view,Yes,Yes,32,2023-01-06
201,25,Male,Monthly,61,like,Yes,Yes,29,2023-01-07
202,69,Male,Annually,22,view,Yes,Yes,15,2023-01-08
203,57,Male,Annually,38,like,Yes,Yes,33,2023-01-09
204,70,Male,Weekly,38,like,Yes,Yes,18,2023-01-10
205,24,Male,Bi-Weekly,100,purchase,Yes,Yes,35,2023-01-11
206,67,Male,Weekly,64,view,Yes,Yes,25,2023-01-12
207,24,Male,Fortnightly,55,like,Yes,Yes,6,2023-01-13
208,62,Male,Bi-Weekly,91,view,Yes,Yes,17,2023-01-14
209,57,Male,Monthly,38,like,Yes,Yes,17,2023-01-15
210,55,Male,Every 3 Months,97,like,Yes,Yes,44,2023-01-16
211,45,Male,Fortnightly,22,purchase,Yes,Yes,6,2023-01-17
212,69,Male,Fortnightly,92,view,Yes,Yes,45,2023-01-18
213,67,Male,Annually,84,like,Yes,Yes,7,2023-01-19
214,30,Male,Every 3 Months,93,purchase,Yes,Yes,11,2023-01-20
215,24,Male,Every 3 Months,50,purchase,Yes,Yes,41,2023-01-21
216,62,Male,Bi-Weekly,64,purchase,Yes,Yes,24,2023-01-22
217,43,Male,Weekly,61,view,Yes,Yes,21,2023-01-23
218,35,Male,Annually,48,like,Yes,Yes,24,2023-01-24
219,28,Male,Quarterly,45,view,Yes,Yes,8,2023-01-25
220,32,Male,Fortnightly,88,like,Yes,Yes,12,2023-01-26
221,39,Male,Fortnightly,57,like,Yes,Yes,48,2023-01-27
222,28,Male,Quarterly,68,purchase,Yes,Yes,6,2023-01-28
223,47,Male,Fortnightly,94,view,Yes,Yes,14,2023-01-29
224,20,Male,Annually,41,like,Yes,Yes,34,2023-01-30
225,63,Male,Every 3 Months,83,purchase,Yes,Yes,12,2023-01-31
226,25,Male,Annually,22,purchase,Yes,Yes,11,2023-02-01
227,29,Male,Monthly,74,view,Yes,Yes,5,2023-02-02
228,50,Male,Fortnightly,90,like,Yes,Yes,25,2023-02-03
229,18,Male,Annually,79,view,Yes,Yes,11,2023-02-04
230,70,Male,Every 3 Months,28,like,Yes,Yes,27,2023-02-05
231,66,Male,Annually,88,like,Yes,Yes,43,2023-02-06
232,28,Male,Every 3 Months,26,purchase,Yes,Yes,18,2023-02-07
233,54,Male,Bi-Weekly,27,view,Yes,Yes,32,2023-02-08
234,19,Male,Every 3 Months,83,like,Yes,Yes,27,2023-02-09
235,20,Male,Weekly,39,purchase,Yes,Yes,24,2023-02-10
236,43,Male,Quarterly,89,purchase,Yes,Yes,31,2023-02-11
237,38,Male,Fortnightly,68,view,Yes,Yes,39,2023-02-12
238,50,Male,Fortnightly,90,like,Yes,Yes,36,2023-02-13
239,64,Male,Annually,34,view,Yes,Yes,5,2023-02-14
240,49,Male,Bi-Weekly,51,like,Yes,Yes,47,2023-02-15
241,47,Male,Fortnightly,45,like,Yes,Yes,29,2023-02-16
242,36,Male,Bi-Weekly,88,purchase,Yes,Yes,43,2023-02-17
243,55,Male,Every 3 Months,85,view,Yes,Yes,40,2023-02-18
244,25,Male,Monthly,100,like,Yes,Yes,4,2023-02-19
245,53,Male,Weekly,42,purchase,Yes,Yes,39,2023-02-20
246,49,Male,Fortnightly,53,purchase,Yes,Yes,45,2023-02-21
247,35,Male,Bi-Weekly,86,view,Yes,Yes,20,2023-02-22
248,29,Male,Weekly,66,like,Yes,Yes,14,2023-02-23
249,47,Male,Weekly,100,view,Yes,Yes,33,2023-02-24
250,53,Male,Annually,47,like,Yes,Yes,18,2023-02-25
251,33,Male,Weekly,25,like,Yes,Yes,9,2023-02-26
252,21,Male,Annually,51,purchase,Yes,Yes,34,2023-02-27
253,32,Male,Fortnightly,41,view,Yes,Yes,33,2023-02-28
254,52,Male,Bi-Weekly,73,like,Yes,Yes,15,2023-03-01
255,67,Male,Bi-Weekly,42,purchase,Yes,Yes,4,2023-03-02
256,43,Male,Annually,20,purchase,Yes,Yes,25,2023-03-03
257,58,Male,Every 3 Months,30,view,Yes,Yes,20,2023-03-04
258,20,Male,Quarterly,53,like,Yes,Yes,5,2023-03-05
259,61,Male,Quarterly,74,view,Yes,Yes,16,2023-03-06
260,32,Male,Annually,57,like,Yes,Yes,13,2023-03-07
261,38,Male,Every 3 Months,57,like,Yes,Yes,11,2023-03-08
262,21,Male,Annually,77,purchase,Yes,Yes,21,2023-03-09
263,37,Male,Annually,40,view,Yes,Yes,6,2023-03-10
264,27,Male,Monthly,46,like,Yes,Yes,29,2023-03-11
265,36,Male,Annually,78,purchase,Yes,Yes,15,2023-03-12
266,32,Male,Bi-Weekly,59,purchase,Yes,Yes,17,2023-03-13
267,51,Male,Weekly,75,view,Yes,Yes,32,2023-03-14
268,64,Male,Annually,54,like,Yes,Yes,42,2023-03-15
269,68,Male,Monthly,42,view,Yes,Yes,21,2023-03-16
270,68,Male,Bi-Weekly,44,like,Yes,Yes,9,2023-03-17
271,33,Male,Annually,52,like,Yes,Yes,16,2023-03-18
272,65,Male,Fortnightly,69,purchase,Yes,Yes,42,2023-03-19
273,48,Male,Bi-Weekly,26,view,Yes,Yes,37,2023-03-20
274,69,Male,Quarterly,33,like,Yes,Yes,32,2023-03-21
275,59,Male,Bi-Weekly,32,purchase,Yes,Yes,28,2023-03-22
276,48,Male,Weekly,85,Unk,Yes,Yes,13,N
277,25,Male,Fortnightly,30,Unk,Yes,Yes,11,N
278,29,Male,Bi-Weekly,29,purchase,Yes,Yes,36,2023-03-25
279,57,Male,Annually,95,view,Yes,Yes,23,2023-03-26
280,23,Male,Monthly,69,like,Yes,Yes,37,2023-03-27
281,45,Male,Bi-Weekly,69,view,Yes,Yes,21,2023-03-28
282,38,Male,Bi-Weekly,61,like,Yes,Yes,22,2023-03-29
283,21,Male,Monthly,94,like,Yes,Yes,9,2023-03-30
284,32,Male,Annually,30,purchase,Yes,Yes,16,2023-03-31
285,63,Male,Quarterly,45,view,Yes,Yes,4,2023-04-01
286,29,Male,Bi-Weekly,39,like,Yes,Yes,3,2023-04-02
287,27,Male,Annually,51,purchase,Yes,Yes,6,2023-04-03
288,56,Male,Fortnightly,37,purchase,Yes,Yes,18,2023-04-04
289,30,Male,Bi-Weekly,62,view,Yes,Yes,34,2023-04-05
290,49,Male,Monthly,85,like,Yes,Yes,26,2023-04-06
291,58,Male,Weekly,33,view,Yes,Yes,50,2023-04-07
292,57,Male,Monthly,26,like,Yes,Yes,40,2023-04-08
293,60,Male,Quarterly,99,like,Yes,Yes,24,2023-04-09
294,69,Male,Annually,39,purchase,Yes,Yes,33,2023-04-10
295,70,Male,Every 3 Months,20,view,Yes,Yes,19,2023-04-11
296,53,Male,Quarterly,42,like,Yes,Yes,24,2023-04-12
297,25,Male,Weekly,74,purchase,Yes,Yes,19,2023-04-13
298,48,Male,Bi-Weekly,26,purchase,Yes,Yes,4,2023-04-14
299,69,Male,Every 3 Months,53,view,Yes,Yes,11,2023-04-15
300,25,Male,Fortnightly,80,like,Yes,Yes,28,2023-04-16
301,29,Male,Weekly,98,view,Yes,Yes,24,2023-04-17
302,46,Male,Every 3 Months,95,like,Yes,Yes,25,2023-04-18
303,37,Male,Every 3 Months,44,like,Yes,Yes,27,2023-04-19
304,20,Male,Weekly,60,purchase,Yes,Yes,49,2023-04-20
305,40,Male,Bi-Weekly,84,view,Yes,Yes,45,2023-04-21
306,60,Male,Annually,59,like,Yes,Yes,26,2023-04-22
307,26,Male,Annually,49,purchase,Yes,Yes,4,2023-04-23
308,29,Male,Every 3 Months,32,purchase,Yes,Yes,3,2023-04-24
309,66,Male,Bi-Weekly,29,view,Yes,Yes,45,2023-04-25
310,66,Male,Fortnightly,22,like,Yes,Yes,21,2023-04-26
311,56,Male,Fortnightly,85,view,Yes,Yes,50,2023-04-27
312,69,Male,Monthly,52,like,Yes,Yes,19,2023-04-28
313,38,Male,Annually,89,like,Yes,Yes,6,2023-04-29
314,42,Male,Every 3 Months,77,purchase,Yes,Yes,50,2023-04-30
315,30,Male,Every 3 Months,24,view,Yes,Yes,17,2023-05-01
316,66,Male,Annually,24,like,Yes,Yes,24,2023-05-02
317,36,Male,Monthly,22,purchase,Yes,Yes,46,2023-05-03
318,58,Male,Every 3 Months,82,purchase,Yes,Yes,42,2023-05-04
319,45,Male,Annually,67,view,Yes,Yes,10,2023-05-05
320,47,Male,Every 3 Months,74,like,Yes,Yes,1,2023-05-06
321,66,Male,Quarterly,72,view,Yes,Yes,28,2023-05-07
322,41,Male,Quarterly,36,like,Yes,Yes,48,2023-05-08
323,41,Male,Monthly,95,like,Yes,Yes,47,2023-05-09
324,66,Male,Bi-Weekly,78,purchase,Yes,Yes,29,2023-05-10
325,37,Male,Quarterly,82,view,Yes,Yes,37,2023-05-11
326,70,Male,Annually,70,like,Yes,Yes,38,2023-05-12
327,62,Male,Weekly,41,purchase,Yes,Yes,48,2023-05-13
328,61,Male,Weekly,42,purchase,Yes,Yes,36,2023-05-14
329,48,Male,Weekly,50,view,Yes,Yes,9,2023-05-15
330,70,Male,Monthly,31,like,Yes,Yes,34,2023-05-16
331,46,Male,Bi-Weekly,51,view,Yes,Yes,43,2023-05-17
332,31,Male,Quarterly,98,purchase,Yes,Yes,46,2023-05-18
333,19,Male,Monthly,86,view,Yes,Yes,5,2023-05-19
334,39,Male,Bi-Weekly,64,like,Yes,Yes,15,2023-05-20
335,41,Male,Annually,46,view,Yes,Yes,30,2023-05-21
336,20,Male,Every 3 Months,85,like,Yes,Yes,44,2023-05-22
337,36,Male,Annually,81,like,Yes,Yes,16,2023-05-23
338,32,Male,Annually,59,purchase,Yes,Yes,16,2023-05-24
339,69,Male,Weekly,79,view,Yes,Yes,16,2023-05-25
340,40,Male,Every 3 Months,33,like,Yes,Yes,21,2023-05-26
341,40,Male,Every 3 Months,47,purchase,Yes,Yes,39,2023-05-27
342,20,Male,Bi-Weekly,20,purchase,Yes,Yes,40,2023-05-28
343,64,Male,Every 3 Months,36,view,Yes,Yes,48,2023-05-29
344,27,Male,Monthly,39,like,Yes,Yes,26,2023-05-30
345,24,Male,Monthly,71,view,Yes,Yes,46,2023-05-31
346,48,Male,Annually,59,like,Yes,Yes,27,2023-06-01
347,49,Male,Weekly,50,like,Yes,Yes,5,2023-06-02
348,36,Male,Fortnightly,41,purchase,Yes,Yes,43,2023-06-03
349,56,Male,Fortnightly,59,view,Yes,Yes,17,2023-06-04
350,37,Male,Bi-Weekly,87,like,Yes,Yes,3,2023-06-05
351,42,Male,Fortnightly,68,purchase,Yes,Yes,47,2023-06-06
352,28,Male,Bi-Weekly,90,purchase,Yes,Yes,24,2023-06-07
353,27,Male,Every 3 Months,71,view,Yes,Yes,12,2023-06-08
354,63,Male,Monthly,64,like,Yes,Yes,35,2023-06-09
355,58,Male,Weekly,76,view,Yes,Yes,42,2023-06-10
356,37,Male,Every 3 Months,42,like,Yes,Yes,1,2023-06-11
357,56,Male,Weekly,80,like,Yes,Yes,27,2023-06-12
358,18,Male,Bi-Weekly,56,purchase,Yes,Yes,16,2023-06-13
359,48,Male,Every 3 Months,25,view,Yes,Yes,36,2023-06-14
360,31,Male,Every 3 Months,74,like,Yes,Yes,30,2023-06-15
361,51,Male,Fortnightly,30,purchase,Yes,Yes,18,2023-06-16
362,65,Male,Annually,96,purchase,Yes,Yes,45,2023-06-17
363,53,Male,Fortnightly,64,view,Yes,Yes,1,2023-06-18
364,55,Male,Fortnightly,88,like,Yes,Yes,42,2023-06-19
365,62,Male,Every 3 Months,88,view,Yes,Yes,7,2023-06-20
366,55,Male,Quarterly,88,like,Yes,Yes,50,2023-06-21
367,64,Male,Fortnightly,36,like,Yes,Yes,37,2023-06-22
368,52,Male,Monthly,40,purchase,Yes,Yes,18,2023-06-23
369,24,Male,Monthly,39,view,Yes,Yes,29,2023-06-24
370,38,Male,Quarterly,40,like,Yes,Yes,45,2023-06-25
371,59,Male,Weekly,34,purchase,Yes,Yes,13,2023-06-26
372,27,Male,Monthly,83,purchase,Yes,Yes,47,2023-06-27
373,24,Male,Weekly,85,view,Yes,Yes,7,2023-06-28
374,23,Male,Bi-Weekly,27,like,Yes,Yes,11,2023-06-29
375,69,Male,Monthly,78,view,Yes,Yes,39,2023-06-30
376,59,Male,Quarterly,32,like,Yes,Yes,6,2023-07-01
377,51,Male,Bi-Weekly,51,like,Yes,Yes,2,2023-07-02
378,63,Male,Every 3 Months,32,purchase,Yes,Yes,39,2023-07-03
379,54,Male,Monthly,62,view,Yes,Yes,23,2023-07-04
380,32,Male,Bi-Weekly,29,like,Yes,Yes,46,2023-07-05
381,39,Male,Weekly,69,purchase,Yes,Yes,19,2023-07-06
382,66,Male,Every 3 Months,25,like,Yes,Yes,3,2023-07-07
383,28,Male,Quarterly,76,like,Yes,Yes,47,2023-07-08
384,50,Male,Quarterly,77,purchase,Yes,Yes,6,2023-07-09
385,70,Male,Annually,33,view,Yes,Yes,6,2023-07-10
386,67,Male,Bi-Weekly,93,like,Yes,Yes,12,2023-07-11
387,64,Male,Quarterly,39,view,Yes,Yes,40,2023-07-12
388,45,Male,Fortnightly,93,like,Yes,Yes,38,2023-07-13
389,22,Male,Quarterly,82,like,Yes,Yes,10,2023-07-14
390,27,Male,Monthly,42,purchase,Yes,Yes,28,2023-07-15
391,25,Male,Annually,71,view,Yes,Yes,19,2023-07-16
392,37,Male,Fortnightly,86,like,Yes,Yes,25,2023-07-17
393,26,Male,Annually,82,purchase,Yes,Yes,38,2023-07-18
394,33,Male,Fortnightly,65,purchase,Yes,Yes,6,2023-07-19
395,43,Male,Bi-Weekly,29,view,Yes,Yes,7,2023-07-20
396,37,Male,Annually,65,like,Yes,Yes,2,2023-07-21
397,46,Male,Annually,88,view,Yes,Yes,24,2023-07-22
398,22,Male,Annually,46,like,Yes,Yes,26,2023-07-23
