uniqeid,subcategory,category,itempurchased,size,color,reviewrating,timestamp,isamazonseller,paymentmethod
a84f14dd0114d78f178b16f093cab0e0,Toys & Games | Sports & Outdoor Play | Slumber Bags,Clothing,Pants,M,Black,2.8,2023-10-30,Y,Cash
f5b9392a03cfae8817307a36411c8b17,Toys & Games | Hobbies | Hobby Building Tools & Hardware | RC Linkages,Clothing,Pants,M,Charcoal,4.1,2023-10-31,Y,Debit Card
89a993dbc079cc3fbe9088c8170b6f99,Toys & Games | Building Toys | Building Sets,Clothing,Pants,M,Peach,3.2,2023-11-01,Y,Debit Card
84fb43b933850dc05e57a162c5ba1702,Toys & Games | Party Supplies | Party Tableware | Plates,Clothing,Pants,XL,White,4.4,2023-11-02,Y,Credit Card
af983053a35fa2a843092369ff3b400b,Toys & Games | Baby & Toddler Toys | Teaching Clocks,Outerwear,Jacket,M,Green,2.9,2023-11-03,Y,Debit Card
6d38858169064c8b7069a19c90dd0ae4,"Toys & Games | Tricycles, Scooters & Wagons | Balance Bikes",Clothing,Hoodie,M,Silver,3.6,2023-11-04,Y,PayPal
326ebcfaa8d5204b634b5648e88e2fe4,Toys & Games | Kids' Electronics,Accessories,Jewelry,M,Red,3.6,2023-11-05,Y,Credit Card
a11d9462309527143094a0f68bce0a58,Home & Kitchen | Home Décor | Kids' Room Décor,Clothing,Shorts,L,Cyan,5.0,2023-11-06,Y,Bank Transfer
fdd8daf07ddd4a23832f3da7d209252f,Baby Products | Nursery | Décor | Wall Décor | Growth Charts,Accessories,Handbag,M,Gray,4.4,2023-11-07,Y,PayPal
c15e7efbe14b9bbcb8b7fe31f9818021,Toys & Games | Puzzles | Jigsaw Puzzles,Clothing,Dress,S,Black,4.1,2023-11-08,Y,Credit Card
5bb4a9aa52085ada20006d166b1e2f87,Sports & Outdoors | Sports & Fitness | Team Sports,Accessories,Jewelry,L,Black,4.7,2023-11-09,Y,Credit Card
2339c5be505bf647ebff669697c6bc25,Toys & Games | Dress Up & Pretend Play | Costumes,Clothing,Dress,L,Brown,4.7,2023-11-10,Y,Venmo
93c659c89f9a1a81374c61c3fdf881bb,Home & Kitchen | Bedding | Kids' Bedding | Comforters & Sets | Comforter Sets,Outerwear,Jacket,M,Silver,4.9,2023-11-11,Y,Venmo
25a1fcc6db40f86566c5f2d902407b15,Toys & Games | Toy Figures & Playsets | Action Figures,Clothing,Pants,L,Green,3.3,2023-11-12,N,Cash
171c7524e8cf032d08d1315f3a538345,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Boys | Costumes",Clothing,T-shirt,L,Violet,4.6,2023-11-13,Y,PayPal
0b6ee0084290e441d87cd5db35cdabb3,Toys & Games | Play Vehicles,Clothing,Blouse,M,Cyan,4.0,2023-11-14,Y,Credit Card
4449b3fa30a6becd3ede26511c8b2180,Toys & Games | Novelty & Gag Toys,Clothing,T-shirt,M,Maroon,4.6,2023-11-15,Y,PayPal
4832387affc268b3c9d6cca70dbdbcb4,Toys & Games | Party Supplies,Clothing,Jeans,S,Cyan,2.8,2023-11-16,Y,PayPal
487a3cc651bddbccb4738ef1e5aa40d0,Toys & Games | Party Supplies | Banners,Clothing,Dress,M,Red,3.7,2023-11-17,Y,Venmo
c3296d8ad42c3998c205f0dbca3998f3,Toys & Games | Dolls & Accessories | Doll Accessories,Clothing,Pants,S,Turquoise,4.2,2023-11-18,Y,Credit Card
3d63af78f4051d04ff6244e9cd299654,,Accessories,Handbag,L,Beige,4.6,2023-11-19,Y,Debit Card
a1793c26a96a83a1544300a431e62902,Toys & Games | Arts & Crafts | Craft Kits,Accessories,Scarf,M,Orange,4.5,2023-11-20,Y,Venmo
486702a222224c41f9e243713d03f27a,Toys & Games | Games & Accessories,Outerwear,Coat,M,Beige,4.1,2023-11-21,Y,PayPal
6eedbf9388a4d905870f8fcd20790823,Toys & Games | Hobbies | Trains & Accessories | Train Cars | Freight Cars | Gondolas,Accessories,Scarf,L,Lavender,3.7,2023-11-22,Y,PayPal
dbf306088532d98d12f7da924cb4e87b,Home & Kitchen | Bedding | Kids' Bedding | Blankets & Throws | Throws,Accessories,Hat,S,Silver,4.6,2023-11-23,Y,PayPal
437d953bb394e40c86873504d40e1b44,Pet Supplies | Dogs | Training & Behavior Aids | Agility Equipment | Tunnels,Clothing,Socks,XL,Indigo,2.9,2023-11-24,Y,PayPal
e84e6e3a05a6fc610ff155b851fa1713,Toys & Games | Dolls & Accessories | Dolls,Clothing,Shirt,L,White,2.9,2023-11-25,Y,Cash
54f37f5ba4be7549cdf4a945bf1bdaad,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts,Accessories,Jewelry,M,Charcoal,4.5,2023-11-26,Y,Cash
4f41e104e3332ef045a90d8a294ffbd5,Toys & Games | Learning & Education,Clothing,Shirt,M,Orange,2.7,2023-11-27,Y,Cash
a6c9ec0ff537edf9736f99b3ca993506,Toys & Games | Kids' Electronics | Electronic Learning Toys,Clothing,Hoodie,S,Indigo,4.6,2023-11-28,Y,Debit Card
2d835e536f3e4aed4005091fe3955ebb,,Clothing,Blouse,M,Red,3.7,2023-11-29,Y,Debit Card
82be0dec20a875155a066440ef111310,"Clothing, Shoes & Jewelry | Novelty & More | Clothing | Novelty | Men | Shirts | T-Shirts",Clothing,Skirt,XL,Gray,4.7,2023-11-30,Y,Credit Card
4cd74df98f6a204869dbc31ba3749d3c,Toys & Games | Hobbies | Hobby Building Tools & Hardware | Paints,Clothing,T-shirt,M,Green,2.6,2023-12-01,Y,Credit Card
74c5d3de523d24384aa913b71d29689b,Toys & Games | Arts & Crafts,Clothing,Skirt,S,Peach,3.9,2023-12-02,Y,Credit Card
43a663416f7a8325321942235dfa6ef7,Toys & Games | Games & Accessories | Card Games,Outerwear,Coat,M,Brown,4.2,2023-12-03,Y,Debit Card
f1a2c4a6317e54e9c76377c79eb35201,Toys & Games | Dress Up & Pretend Play | Pretend Play | Kitchen Toys,Outerwear,Jacket,M,Lavender,3.0,2023-12-04,Y,Credit Card
c4c4257e9c0a5257ed3affae5c568aae,,Accessories,Backpack,XL,Brown,4.7,2023-12-05,Y,Credit Card
9ab3556ad20a8d9c1595d298972b2eae,Toys & Games | Dolls & Accessories | Dolls,Outerwear,Coat,M,White,4.4,2023-12-06,Y,Debit Card
52c1091bb950f7466507179ac0bcbb86,Toys & Games | Kids' Electronics | Electronic Learning Toys,Clothing,Hoodie,M,Charcoal,4.2,2023-12-07,Y,Venmo
cb7fc27339298ae31485ce70a774f6cb,Toys & Games | Games & Accessories,Accessories,Belt,L,Yellow,4.6,2023-12-08,Y,Debit Card
5483f67f50a97a8dd7f404f80eab75e1,"Clothing, Shoes & Jewelry | Men | Accessories | Wallets, Card Cases & Money Organizers | Wallets",Clothing,Sweater,L,Brown,4.0,2023-12-09,Y,Cash
ce9fd24e5a2b750d26c861da26ca283c,Toys & Games | Toy Figures & Playsets | Action Figures,Accessories,Scarf,M,Orange,4.7,2023-12-10,Y,Credit Card
ee4f7424fcbf4e3767bd0018e4c3e1d3,Toys & Games | Baby & Toddler Toys,Footwear,Sneakers,S,Magenta,3.8,2023-12-11,Y,Credit Card
a837eca35fd596cd19b7c5601a1342bc,Toys & Games | Baby & Toddler Toys | Sorting & Stacking Toys,Accessories,Sunglasses,L,Lavender,2.7,2023-12-12,Y,Credit Card
b4358a38037a7e7fbcd7fe16970e7bff,"Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues",Footwear,Boots,S,Green,4.8,2023-12-13,Y,Debit Card
83e5bb2c78aa73a08f2363e66fcd9e1b,"Clothing, Shoes & Jewelry | Costumes & Accessories | Women | Wigs",Accessories,Backpack,M,Purple,4.8,2023-12-14,Y,Venmo
ca1066833c4acdb86c6f8d1e151d651e,Toys & Games | Toy Figures & Playsets | Action Figures,Clothing,Blouse,S,Magenta,4.7,2023-12-15,Y,Venmo
88f6235d5f16bcaf83a9fd886bfdd565,,Outerwear,Coat,L,Gray,4.4,2023-12-16,Y,Debit Card
37ec1604ef5bdfaaafd75a1bbaf5ec91,Toys & Games | Toy Figures & Playsets | Action Figures,Accessories,Handbag,L,Silver,3.9,2023-12-17,Y,Cash
a7a21a6b83ba70d2910c44d73b6b7725,Toys & Games | Stuffed Animals & Plush Toys | Stuffed Animals & Teddy Bears,Accessories,Belt,S,Cyan,4.4,2023-12-18,Y,Cash
18bf3174cb5fcba9e72702c927019cb3,Toys & Games | Dolls & Accessories | Dolls,Accessories,Belt,M,Magenta,4.2,2023-12-19,Y,Debit Card
27006457c5a1578ed9d45ff737055656,Toys & Games | Dolls & Accessories | Playsets,Clothing,Dress,L,Gold,2.9,2023-12-20,Y,Bank Transfer
b2c24314887c92d7464a191f3c54de52,Toys & Games | Stuffed Animals & Plush Toys | Stuffed Animals & Teddy Bears,Clothing,Dress,M,Olive,2.9,2023-12-21,Y,Bank Transfer
7b3118bcb208e06362ff2eb42d5b9b3c,Toys & Games | Novelty & Gag Toys | Miniatures,Clothing,Pants,M,Teal,2.7,2023-12-22,Y,Bank Transfer
1195f9df08a6df42fdd8b1892c335889,Toys & Games | Stuffed Animals & Plush Toys | Plush Puppets,Accessories,Gloves,L,Violet,4.5,2023-12-23,Y,Cash
79b669f8f4defe34698c5248706cedab,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts | Wheels & Tires | Tires,Accessories,Scarf,M,Blue,2.7,2023-12-24,Y,Credit Card
7254b59eae7dbde82de2eb3a5b9c8c39,Home & Kitchen | Home Décor | Kids' Room Décor | Wall Décor,Accessories,Hat,S,Teal,4.2,2023-12-25,Y,Venmo
7d223d7689e145d8d69392167b122a13,,Clothing,Dress,L,Gold,3.3,2023-12-26,Y,Debit Card
90fcab7631cbee136410014eea26a61d,Toys & Games | Stuffed Animals & Plush Toys | Plush Figures,Clothing,Skirt,M,Maroon,4.7,2023-12-27,Y,Venmo
9485955016fda60d55229c43dc13bb94,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts | Power Plant & Driveline Systems | Axles,Outerwear,Jacket,M,Olive,2.6,2023-12-28,Y,Bank Transfer
1f25e0968f5ab9451c985211bdfe4e27,Sports & Outdoors | Sports & Fitness | Team Sports | Volleyball | Volleyballs | Outdoor Volleyballs,Footwear,Sandals,XL,Blue,3.3,2023-01-01,Y,Credit Card
954fb803841ce010626740c8a776e981,Toys & Games | Toy Figures & Playsets | Playsets & Vehicles | Playsets,Footwear,Shoes,L,Maroon,2.6,2022-12-28,Y,Credit Card
2b47bdb56e45a2bcd883dda0ac5c396e,Toys & Games | Arts & Crafts | Clay & Dough,Clothing,Pants,S,Olive,4.0,2022-12-29,Y,Credit Card
43cf83baf4862cb9f887c7dd08650162,Toys & Games | Games & Accessories | Board Games,Clothing,Dress,M,Turquoise,4.1,2022-12-30,Y,Bank Transfer
4c63c213190352c4ca32ee3f19a9f80b,Toys & Games | Stuffed Animals & Plush Toys | Plush Figures,Outerwear,Coat,S,Peach,4.4,2022-12-31,Y,Bank Transfer
aa5d0f143bd2e72e59977889279f2cf9,Toys & Games | Games & Accessories | Game Accessories | Standard Game Dice,Accessories,Sunglasses,M,Charcoal,4.5,2023-01-01,Y,Debit Card
655d6a86d569a686be549cd34ebc3d9e,Toys & Games | Kids' Electronics,Clothing,Hoodie,L,Pink,3.7,2023-01-02,Y,Cash
39581e8e51beb8d3a0dd056baba4ff53,Toys & Games | Dolls & Accessories | Dolls,Footwear,Shoes,M,Green,3.7,2023-01-03,Y,Debit Card
67fb67f9191d3971c94200a3a3b9baf9,Sports & Outdoors | Fan Shop | Toys & Game Room | Games,Clothing,T-shirt,M,Orange,3.5,2023-01-04,Y,Credit Card
473f3b4baadf9bb5d4748f2f27887e00,,Outerwear,Jacket,XL,Pink,3.6,2023-01-05,Y,Cash
eae3be3cc19d4e642c2578cba1703d04,Toys & Games | Dress Up & Pretend Play | Pretend Play | Kitchen Toys | Play Food,Accessories,Hat,L,Violet,2.9,2023-01-06,Y,Credit Card
dbf821fa0abe44f1d29203623d5ee012,Toys & Games | Party Supplies | Banners,Accessories,Scarf,S,Green,4.6,2023-01-07,Y,Credit Card
30ea772fc1d42248ea26c4c5ad0311a5,Toys & Games | Baby & Toddler Toys,Outerwear,Jacket,M,Olive,4.4,2023-01-08,Y,Venmo
8406b5a5a8f4b30bd4a9fcc89cca983f,Toys & Games | Hobbies | Trains & Accessories | Train Cars,Clothing,Sweater,M,Purple,4.5,2023-01-09,Y,Credit Card
d229c3105ea7858cd1d92641a34b4ec8,,Clothing,Skirt,S,Silver,4.6,2023-01-10,Y,Credit Card
72b935fe1a8026edc4fa21e68e6dfe80,Toys & Games | Games & Accessories | Card Games | Standard Playing Card Decks,Footwear,Sneakers,L,Pink,3.8,2023-01-11,Y,PayPal
10e74e9a2789a22f0ec2c123456edf67,Toys & Games | Stuffed Animals & Plush Toys,Accessories,Gloves,S,Gold,3.6,2023-01-12,Y,Venmo
8636a90d68d24c44934ef2ea51702f18,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts,Footwear,Shoes,M,Teal,4.8,2023-01-13,Y,Cash
78c66630b1b56bb6ea887ea781b07d47,Toys & Games | Kids' Electronics,Clothing,Jeans,XL,Teal,2.6,2023-01-14,Y,Bank Transfer
afef5d77b6049314aeb9c50421a2cee9,Toys & Games | Games & Accessories | Card Games | Standard Playing Card Decks,Clothing,Hoodie,XL,Indigo,3.7,2023-01-15,Y,Debit Card
0379ca9ef04209d1aae2106711eb7c76,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicles | Quadcopters & Multirotors,Accessories,Sunglasses,M,Maroon,2.7,2023-01-16,Y,Cash
ed8d9032bc6d9f45b4db9209d693fdc0,"Arts, Crafts & Sewing | Crafting | Paper & Paper Crafts | Paper Craft Tools",Outerwear,Coat,XL,White,4.6,2023-01-17,N,Credit Card
a8dc69040cc0bb452c92cfe9bb57aa1c,Toys & Games | Building Toys,Clothing,Socks,L,Violet,4.8,2023-01-18,Y,Credit Card
9a895f02b4ad0cae5802632c1993eb06,Toys & Games | Party Supplies,Footwear,Boots,L,Red,4.0,2023-01-19,Y,Venmo
92791619f785a607f88bdf065b7f132e,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Costumes",Accessories,Sunglasses,L,Pink,4.4,2023-01-20,Y,PayPal
0304022236b299aad7bc87ea32e043ff,Toys & Games | Learning & Education | Science Kits & Toys,Accessories,Backpack,M,Charcoal,3.6,2023-01-21,Y,Bank Transfer
814e4711e4823f8f00f058552fde21fa,Toys & Games | Dolls & Accessories | Dolls,Outerwear,Jacket,L,White,3.7,2023-01-22,Y,Credit Card
f6e664c2120ea19732b41350f460463d,Toys & Games | Sports & Outdoor Play | Play Sets & Playground Equipment,Footwear,Sneakers,L,Olive,3.1,2023-01-23,Y,PayPal
d0dc4bfe601fc59233cc92ffec45c605,,Clothing,Socks,L,Purple,3.4,2023-01-24,Y,Bank Transfer
02d5d3748dc98cf913b93dc8b5c05c8b,Toys & Games | Stuffed Animals & Plush Toys | Plush Pillows,Clothing,T-shirt,M,Violet,2.6,2023-10-10,Y,Bank Transfer
45208c800cf9482dfd24ef949a0f0cd0,Home & Kitchen | Home Décor | Kids' Room Décor | Window Treatments | Curtain Panels,Accessories,Backpack,M,Black,4.0,2023-10-11,Y,Venmo
79e3041db1ebd4fdd038c9d2cf0ef04e,Toys & Games | Arts & Crafts | Clay & Dough,Accessories,Belt,L,Purple,5.0,2023-10-12,Y,Credit Card
49f3c6b312e7fecbf0ddadd4a080add7,,Accessories,Gloves,M,Red,4.3,2023-10-13,Y,PayPal
c709c8bd5fcca2e3e2ae32ba1d69faf4,Toys & Games | Games & Accessories | Board Games,Accessories,Hat,L,Maroon,3.1,2023-10-14,Y,PayPal
99da793d9f8a083c04df9911ceb60715,Toys & Games | Sports & Outdoor Play | Play Sets & Playground Equipment | Teeter Totters,Outerwear,Coat,S,Blue,3.7,2023-10-15,N,Cash
8e07a9181d2ec9ee5950021ea3d8b2a0,Sports & Outdoors | Fan Shop | Electronics | Computer Accessories,Clothing,Skirt,M,Gray,3.8,2023-10-16,Y,Debit Card
81f53d27640a0e3325dcd555c4e87fe1,Sports & Outdoors | Sports & Fitness | Leisure Sports & Game Room | Outdoor Games & Activities | Balls | Playground Balls,Footwear,Shoes,S,Blue,3.4,2023-10-17,Y,Venmo
a849de4958fcf81230d956e8991ac7c5,Toys & Games | Toy Figures & Playsets | Action Figures,Footwear,Sandals,L,Yellow,4.6,2023-10-18,Y,Cash
123de3c9efa5f49dbbc098068d94acc2,Home & Kitchen | Furniture | Kids' Furniture | Chairs & Seats | Armchairs,Clothing,Sweater,L,Orange,4.8,2023-10-19,Y,Cash
c0fd11e864d351e88e9df728bbaa486d,Toys & Games | Games & Accessories,Outerwear,Coat,M,Orange,4.3,2023-10-20,Y,Cash
932626782438aa58a8222562b8bfefb0,Electronics | Camera & Photo | Binoculars & Scopes | Binoculars,Accessories,Hat,L,Red,4.0,2023-10-21,Y,Bank Transfer
d9809a6fc787570b33d9f44c5d4e1415,Toys & Games | Arts & Crafts,Clothing,Shorts,M,Olive,4.2,2023-10-22,Y,Cash
f880bf9d197e7e4fc752ca2d108cd67c,Toys & Games | Novelty & Gag Toys,Accessories,Backpack,L,Brown,4.8,2023-10-23,Y,Cash
b7bb0de40b81beb68392cb9eac930137,Toys & Games | Dolls & Accessories | Dolls,Clothing,Sweater,L,Brown,3.1,2023-10-24,Y,Cash
28fb13c41d60ada29a481c17ad2f24b8,Toys & Games | Toy Figures & Playsets,Clothing,Sweater,M,Gray,3.1,2023-10-25,Y,PayPal
cabef2309e492543d75e306c23cd7c5a,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts | Servos & Parts | Servos,Clothing,Shorts,M,Indigo,3.6,2023-10-26,Y,Venmo
7e4d77ac0e15f3966d5c3ac8839ae080,Toys & Games | Arts & Crafts | Clay & Dough,Clothing,Shorts,L,Pink,3.9,2023-10-27,Y,Cash
41fa5a2332e5c062b2b8f2b14daa5e5e,Toys & Games | Building Toys,Clothing,Sweater,M,Gray,4.8,2023-10-28,Y,Credit Card
9069f341e27a58e956b9aa3920738ecf,Toys & Games | Learning & Education | Flash Cards,Accessories,Scarf,M,Gold,4.7,2023-10-29,Y,Credit Card
a6be2cb936c19bd031e72e8256003ab5,Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicle Parts | Battery Chargers,Clothing,Dress,XL,Olive,4.2,2023-10-30,Y,PayPal
8b3ed216e8ea2a65feb8843e16e57217,Toys & Games | Arts & Crafts | Craft Kits,Accessories,Scarf,L,Violet,3.7,2023-10-31,Y,PayPal
1d6d1a47bc11a7549b994c0e8cbd8804,Toys & Games | Dolls & Accessories | Dolls,Clothing,Skirt,L,Indigo,3.9,2023-11-01,Y,Credit Card
8fd364299f24cb6ba28a5a93919b5cfa,Toys & Games | Puzzles | Jigsaw Puzzles,Accessories,Backpack,M,Orange,4.7,2023-11-02,Y,PayPal
7e3cd8712b226daca73ba3ab3abde13c,"Arts, Crafts & Sewing | Beading & Jewelry Making | Beading Supplies | Fuse & Perler Beads",Clothing,Sweater,M,Violet,2.5,2023-11-03,Y,Venmo
38764032a8ab8cbacc789a9419d2a020,Toys & Games | Novelty & Gag Toys,Accessories,Hat,L,Gray,4.9,2023-11-04,Y,Cash
ff09acf412a4d6277345698d6038909f,Toys & Games | Toy Figures & Playsets | Action Figures,Footwear,Sandals,M,Purple,4.1,2023-11-05,Y,PayPal
9d5a7160612c96058770fcc966a92054,Video Games | PlayStation 4 | Games,Clothing,Blouse,M,White,3.3,2023-11-06,Y,Debit Card
167a657569966c53f85837414f11fef0,Toys & Games | Puzzles | Brain Teasers,Footwear,Sneakers,M,Turquoise,4.7,2023-11-07,Y,PayPal
6bbd68078c73c7e597720418d5347070,Toys & Games | Games & Accessories | Card Games | Standard Playing Card Decks,Clothing,Skirt,M,Maroon,4.4,2023-11-08,Y,Bank Transfer
875a5a1374880f0c30bce7429ff4e411,Toys & Games | Dolls & Accessories | Dolls,Outerwear,Coat,M,White,3.8,2023-11-09,Y,Venmo
55259e7b18b0f9c485d920d401dafed3,Toys & Games | Dolls & Accessories | Doll Accessories,Clothing,Shirt,L,Yellow,3.9,2023-11-10,Y,Credit Card
1d3b2d2a7a30a088f5c0e2976b8b37ca,"Baby Products | Baby Care | Pacifiers, Teethers & Teething Relief | Teethers",Accessories,Gloves,M,Turquoise,4.9,2023-11-11,Y,PayPal
baa973c42b723622550e48dda886cff7,Toys & Games | Stuffed Animals & Plush Toys | Stuffed Animals & Teddy Bears,Outerwear,Jacket,L,Violet,3.1,2023-11-12,Y,Credit Card
c62585c13e47179bc4680213b47748f3,Toys & Games | Building Toys | Building Sets,Outerwear,Coat,M,Beige,2.7,2023-11-13,Y,PayPal
a9c23e84104c2db9de9e2923e432f290,Toys & Games | Hobbies | Trains & Accessories | Train Cars | Freight Cars,Footwear,Shoes,M,Silver,3.2,2023-11-14,Y,Cash
e9d6b02c60503e7a5ab3d1dd31f1f21b,Toys & Games | Games & Accessories | Card Games,Accessories,Jewelry,M,Teal,4.5,2023-11-15,Y,Debit Card
15b3da22b8a28a4fd632e08d03af7c69,,Clothing,Skirt,S,Black,4.0,2023-11-16,Y,Venmo
01bbe4d02c928d24da487a8749ee2553,"Patio, Lawn & Garden | Outdoor Décor | Backyard Birding & Wildlife | Butterflies",Footwear,Shoes,M,Purple,3.5,2023-11-17,Y,Bank Transfer
20158a4c459ec9cb6c92aa966cf8196e,Toys & Games | Toy Figures & Playsets | Action Figures,Accessories,Gloves,M,Gray,2.6,2023-11-18,Y,Debit Card
2bf16bce01f0ab06c0541be020568640,"Toys & Games | Collectible Toys | Statues, Bobbleheads & Busts | Statues",Clothing,Pants,M,White,3.2,2023-11-19,Y,PayPal
d97a81d04b9463ebced3488341e8df6a,"Clothing, Shoes & Jewelry | Costumes & Accessories | Women | Costumes & Cosplay Apparel | Costumes",Footwear,Boots,L,Cyan,4.9,2023-11-20,Y,Debit Card
292439569150831eb76a89ccd95d97c0,Toys & Games | Hobbies | Hobby Building Tools & Hardware | Paints,Accessories,Sunglasses,L,Turquoise,4.5,2023-11-21,Y,Venmo
6932ffb2c1475a79312b47f46b24e64a,Toys & Games | Games & Accessories | Board Games,Clothing,Shirt,S,Brown,4.3,2023-11-22,Y,Venmo
dfd0ea3e5fc05786ed12ea1f083b34ae,Tools & Home Improvement | Power & Hand Tools | Power Tool Parts & Accessories | Power Rotary Tool Parts & Accessories | Attachments,Clothing,Hoodie,M,Maroon,3.2,2023-11-23,Y,Debit Card
069bea5286f41eebb25793d9ca9b4ffa,Toys & Games | Party Supplies,Clothing,Dress,M,Charcoal,3.6,2023-11-24,Y,Venmo
18cad95602932158f77c11ac60921726,Toys & Games | Games & Accessories,Clothing,Socks,S,Olive,4.3,2023-11-25,Y,Bank Transfer
840962c7998fc95967637adcbbe40031,Toys & Games | Party Supplies | Party Packs,Clothing,Shorts,M,Lavender,4.0,2023-11-26,Y,Debit Card
f9e0af2ffca5b6eb42a2bf7b5954cb1e,Toys & Games | Games & Accessories,Accessories,Hat,S,Yellow,3.0,2023-11-27,Y,Bank Transfer
698082240a32748151cc4ae387ad68bf,Toys & Games | Learning & Education | Flash Cards,Clothing,Shirt,XL,Teal,4.1,2023-11-28,Y,Bank Transfer
